ts_ms,market_id,venue,yes_bid,yes_ask,no_bid,no_ask,yes_bid_n,yes_ask_n,no_bid_n,no_ask_n
1788585068424,122,3,0.5100,0.5200,0.4800,0.4900,3154,3416,3416,3154
1788585068424,123,3,0.4800,0.4900,0.5100,0.5200,2175,2227,2227,2175
1788585068424,124,3,0.8400,0.8500,0.1500,0.1600,3650,3109,3109,3650
1788585068424,125,3,0.1700,0.1800,0.8200,0.8300,2866,1913,1913,2866
1788585068454,124,2,0.8370,0.8380,0.1620,0.1630,4815,8116,8116,4815
1788585068454,125,2,0.1870,0.1890,0.8110,0.8130,164,857,857,164
1788585068455,123,2,0.4650,0.4660,0.5340,0.5350,6553,4094,4094,6553
1788585068467,122,2,0.5380,0.5390,0.4610,0.4620,514,2650,2650,514
1788585068744,123,2,0.4650,0.4660,0.5340,0.5350,5553,4094,4094,5553
1788585069516,123,1,0.4700,0.4800,0.5200,0.5300,33132,29497,29497,33132
1788585069516,122,1,0.5200,0.5300,0.4700,0.4800,15014,58225,58225,15014
1788585069516,125,1,0.1500,0.1600,0.8400,0.8500,328174,236032,236032,328174
1788585069517,124,1,0.8400,0.8500,0.1500,0.1600,323912,488117,488117,323912
1788585070447,125,2,0.1870,0.1890,0.8110,0.8130,164,857,857,164
1788585073307,123,2,0.4650,0.4660,0.5340,0.5350,6553,4094,4094,6553
1788585075559,125,2,0.1870,0.1890,0.8110,0.8130,164,857,857,164
1788585075659,125,2,0.1870,0.1890,0.8110,0.8130,164,857,857,164
1788585075760,125,2,0.1870,0.1890,0.8110,0.8130,164,857,857,164
1788585076383,122,2,0.5380,0.5390,0.4610,0.4620,514,2650,2650,514
1788585080680,125,2,0.1870,0.1890,0.8110,0.8130,164,857,857,164
1788585082071,124,2,0.8370,0.8380,0.1620,0.1630,3815,8116,8116,3815
1788585082272,124,2,0.8370,0.8380,0.1620,0.1630,4815,8116,8116,4815
1788585087152,122,2,0.5380,0.5390,0.4610,0.4620,514,3192,3192,514
1788585087543,123,2,0.4650,0.4660,0.5340,0.5350,6554,4094,4094,6554
1788585087543,122,2,0.5380,0.5390,0.4610,0.4620,514,2192,2192,514
1788585087950,122,2,0.5380,0.5390,0.4610,0.4620,514,3192,3192,514
1788585102388,122,2,0.5380,0.5390,0.4610,0.4620,508,3188,3188,508
1788585102695,122,2,0.5380,0.5390,0.4610,0.4620,514,3192,3192,514
1788585105047,123,2,0.4650,0.4660,0.5340,0.5350,5554,4094,4094,5554
1788585108741,125,2,0.1870,0.1890,0.8110,0.8130,164,857,857,164
1788585109057,125,2,0.1870,0.1890,0.8110,0.8130,164,857,857,164
1788585109543,125,2,0.1870,0.1890,0.8110,0.8130,164,857,857,164
1788585111398,124,2,0.8370,0.8380,0.1620,0.1630,3815,8116,8116,3815
1788585111654,124,2,0.8370,0.8380,0.1620,0.1630,4815,8116,8116,4815
1788585113054,123,2,0.4650,0.4660,0.5340,0.5350,6554,4094,4094,6554
1788585114759,125,2,0.1870,0.1890,0.8110,0.8130,164,857,857,164
1788585118259,122,2,0.5380,0.5390,0.4610,0.4620,514,2192,2192,514
1788585118366,122,2,0.5380,0.5390,0.4610,0.4620,514,3192,3192,514
1788585119900,125,2,0.1870,0.1890,0.8110,0.8130,164,857,857,164
1788585119972,125,2,0.1870,0.1890,0.8110,0.8130,164,857,857,164
1788585120510,122,1,0.5200,0.5300,0.4700,0.4800,15014,58219,58219,15014
1788585126143,124,2,0.8370,0.8380,0.1620,0.1630,4815,8110,8110,4815
1788585126385,124,2,0.8370,0.8380,0.1620,0.1630,4815,8116,8116,4815
1788585137716,125,2,0.1870,0.1890,0.8110,0.8130,164,857,857,164
1788585138715,125,2,0.1870,0.1890,0.8110,0.8130,164,857,857,164
1788585141709,125,2,0.1870,0.1890,0.8110,0.8130,164,857,857,164
1788585141961,125,2,0.1870,0.1890,0.8110,0.8130,164,857,857,164
1788585143028,125,2,0.1870,0.1890,0.8110,0.8130,164,857,857,164
1788585144575,125,2,0.1870,0.1890,0.8110,0.8130,164,857,857,164
1788585145088,124,2,0.8370,0.8380,0.1620,0.1630,3815,8116,8116,3815
1788585147439,124,2,0.8370,0.8380,0.1620,0.1630,3815,8116,8116,3815
1788585147538,123,2,0.4650,0.4660,0.5340,0.5350,5554,4094,4094,5554
1788585148159,125,2,0.1870,0.1890,0.8110,0.8130,164,857,857,164
1788585148241,125,2,0.1870,0.1890,0.8110,0.8130,164,857,857,164
1788585149626,122,2,0.5380,0.5390,0.4610,0.4620,514,2192,2192,514
1788585149748,122,2,0.5380,0.5390,0.4610,0.4620,514,3192,3192,514
1788585151851,124,2,0.8370,0.8380,0.1620,0.1630,4815,8116,8116,4815
1788585156160,123,2,0.4650,0.4660,0.5340,0.5350,5554,4094,4094,5554
1788585157990,123,2,0.4650,0.4660,0.5340,0.5350,6554,4094,4094,6554
1788585166692,123,2,0.4650,0.4660,0.5340,0.5350,6554,4094,4094,6554
1788585167512,125,1,0.1500,0.1600,0.8400,0.8500,328174,235951,235951,328174
1788585175706,125,2,0.1870,0.1890,0.8110,0.8130,164,857,857,164
1788585175911,125,2,0.1870,0.1890,0.8110,0.8130,164,857,857,164
1788585176091,125,2,0.1870,0.1890,0.8110,0.8130,164,857,857,164
