ts_ms,market_id,venue,yes_bid,yes_ask,no_bid,no_ask,yes_bid_n,yes_ask_n,no_bid_n,no_ask_n
1787427235705,122,3,0.5100,0.5200,0.4800,0.4900,2651,2989,2989,2651
1787427235705,123,3,0.4800,0.4900,0.5100,0.5200,954,1500,1500,954
1787427235705,124,3,0.8400,0.8500,0.1500,0.1600,2503,1824,1824,2503
1787427736288,124,2,0.8440,0.8450,0.1550,0.1560,1,1,1,1
1787427736300,122,3,0.5100,0.5200,0.4800,0.4900,2651,2989,2989,2651
1787427736300,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427736300,123,3,0.4800,0.4900,0.5100,0.5200,954,1500,1500,954
1787427736300,124,3,0.8400,0.8500,0.1500,0.1600,2503,1824,1824,2503
1787427736300,122,2,0.5060,0.5070,0.4930,0.4940,1,1,1,1
1787427737305,123,1,0.4600,0.4700,0.5300,0.5400,28908,32323,32323,28908
1787427737305,122,1,0.5300,0.5400,0.4600,0.4700,6644,17383,17383,6644
1787427737305,124,1,0.8400,0.8500,0.1500,0.1600,381843,135525,135525,381843
1787427742004,122,2,0.5060,0.5070,0.4930,0.4940,1,1,1,1
1787427742013,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427742185,122,2,0.5060,0.5070,0.4930,0.4940,1,1,1,1
1787427742197,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427742701,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427743501,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427752408,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427757423,124,2,0.8440,0.8450,0.1550,0.1560,1,1,1,1
1787427757632,124,2,0.8440,0.8450,0.1550,0.1560,1,1,1,1
1787427759926,124,2,0.8440,0.8450,0.1550,0.1560,1,1,1,1
1787427760076,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427771251,122,2,0.5060,0.5070,0.4930,0.4940,1,1,1,1
1787427774608,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427774793,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427774897,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427774993,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427775561,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427776498,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427777603,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427778125,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427778679,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427779503,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427780705,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427781308,123,1,0.4600,0.4700,0.5300,0.5400,28908,32320,32320,28908
1787427781510,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427787186,124,2,0.8440,0.8450,0.1550,0.1560,1,1,1,1
1787427787388,124,2,0.8440,0.8450,0.1550,0.1560,1,1,1,1
1787427789388,122,2,0.5060,0.5070,0.4930,0.4940,1,1,1,1
1787427793106,122,2,0.5060,0.5070,0.4930,0.4940,1,1,1,1
1787427795940,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427803820,122,2,0.5060,0.5070,0.4930,0.4940,1,1,1,1
1787427803920,122,2,0.5060,0.5070,0.4930,0.4940,1,1,1,1
1787427807261,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427813040,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427813241,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427813277,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427813758,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427813758,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427814135,124,2,0.8440,0.8450,0.1550,0.1560,1,1,1,1
1787427814986,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427816593,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427817006,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427822166,124,2,0.8440,0.8450,0.1550,0.1560,1,1,1,1
1787427822366,124,2,0.8440,0.8450,0.1550,0.1560,1,1,1,1
1787427823303,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427823364,124,2,0.8440,0.8450,0.1550,0.1560,1,1,1,1
1787427823502,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427823582,124,2,0.8440,0.8450,0.1550,0.1560,1,1,1,1
1787427824874,124,2,0.8440,0.8450,0.1550,0.1560,1,1,1,1
1787427825370,124,2,0.8440,0.8450,0.1550,0.1560,1,1,1,1
1787427827191,124,2,0.8440,0.8450,0.1550,0.1560,1,1,1,1
1787427827374,124,2,0.8440,0.8450,0.1550,0.1560,1,1,1,1
1787427827472,124,2,0.8440,0.8450,0.1550,0.1560,1,1,1,1
1787427837107,124,2,0.8440,0.8450,0.1550,0.1560,1,1,1,1
1787427837198,124,2,0.8440,0.8450,0.1550,0.1560,1,1,1,1
1787427839717,122,2,0.5060,0.5070,0.4930,0.4940,1,1,1,1
1787427840443,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427840640,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427840743,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427840827,122,2,0.5060,0.5070,0.4930,0.4940,1,1,1,1
1787427847252,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
1787427847452,123,2,0.4860,0.4870,0.5130,0.5140,1,1,1,1
